Location,Observation Time,Temperature (°C),Feels Like (°C),Humidity (%),Wind Speed (kph),Weather Condition,Cloud Cover (%),Pressure (mb),UV Index,Visibility (km)
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
New York,4/5/2024 14:15,8.3,4.5,40,29.9,Partly cloudy,75,1003,2,16
